index,review_title,review_text,review_rating,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos
33,Pathetic Apple and IPhone Review,I had taken the phone but the phones holds too many defects and issues. When we talk the mouth pice is not that precise to hold you voice creaky the voice is not audible if the phone is even partially away from your chin/mouth.,1.0,0.078,0.922,0.0,-0.5499,0.85126036,0.13949709,0.009242529
34,"got at ₹49,900 but do i wasted my 50k?? ABSOLUTELY NO!",there are two angles from which smartphones are generally looked. and i will be very honest in this review so that a genuine user can understand if he really wants apple!,5.0,0.0,0.878,0.122,0.5974,0.034038417,0.4610643,0.50489724
35,Smooth as Butter,"Smooth as butter, no lag and awesome display with superb camera..Just the perfect phone",5.0,0.18,0.353,0.467,0.8519,0.0024875,0.017215205,0.9802973
36,Nice Phone,"Using around a week now. It’s snappy fast. Power efficient. Gives a back up of a whole day on average use. It has a single but impressive rear camera. Selfie camera is excellent. Low light performance is average though. The phone is bulky, Heavy, weighing more than 190 grams. You surely need to use a protective case to protect Camera bump and glass on both sides. Display is crisp.",5.0,0.033,0.731,0.235,0.9517,0.019320063,0.13032986,0.85035
37,Awsome Product by Apple,This is by far the best smartphone i have ever owned.,5.0,0.0,0.682,0.318,0.6369,0.0018566701,0.009768985,0.98837435
38,Awesome Phone,"A Perfect Phone with a great camera, great performance, Great look, Great Battery life and a good Display. Worth the trade off. Perfect size",5.0,0.0,0.313,0.688,0.9828,0.0020483348,0.019393953,0.97855777
39,NEVER BUY FROM AMAZON,"NEVER BUY it from Amazon. VERY POOR PRODUCT AND CUSTOMER CARE.i bought it and received it on 3.10.2019 and noted a crack on right top corner of display which was visible when the plastic sticker was removed and complained to amazon customer cell on 4.10.2019. they assured a replacement. nothing happened. when i called them a number of times, they simply tranfer my calls to diiferent sections and then assurinng call back and then not calling back. Apple says it is the duty of amazon to take measures for replacement. Still left nowhere with my money gone on a damaged product.",1.0,0.097,0.804,0.099,-0.5802,0.7786561,0.18912439,0.032219484
40,Worthy buy,Extremely easy to use. Good specifications.,5.0,0.0,0.396,0.604,0.7264,0.004456297,0.03725726,0.95828646
41,Amazing phone! iOS makes it worth the money! Delivered 3 days late by the seller.,Best iPhone I’ve used. Sold my one plus 6 and got this one. The screen is not an OLED so you miss out on deep blacks and saturation. But I noticed the colours are better than the older iPhones with LCD. It also has thick bezels which take some time to get used to. An OLED screen on this would’ve been wonderful but apple being apple wont do that!,5.0,0.019,0.826,0.155,0.9072,0.029025212,0.10645522,0.8645196
42,Worst camera,Poor Front camera cannot take photo with light at background (photo attached),1.0,0.22,0.78,0.0,-0.4767,0.7737862,0.20988971,0.016324133
43,Disappointed !!!,"This is my first phone from Apple. I was in confusion in buying between pixel and iphone. Even though pixel is far superior than apple in all departments, I went for iphone due to craziness. The product is well packed and delivered. When I started using the phone, the screen looks average, battery is good and the hardware seems good. The camera disappoints me al lot. Never expect this from Apple. In particular, the front camera is worst, in indoor lightning conditions and can see dots in image like a VGA camera.  At a cost of 60k, I was more so curious about the camera. It disappoints me badly. Even my motorola camera works well. If you are crazzy for the brand, go for it. Else definitely, you can go for other models in the market.",1.0,0.111,0.747,0.142,0.5912,0.5952572,0.27768332,0.12705944
44,Tampered shipment & product,This Appario seem to be a fraud. My shipment has been smartly tampered and the have managed to overcome the security features. Even iPhone package back label have been tampered. Amazon Customer Care on phone or Twitter is of no help. I need to return this and get a replacement.,1.0,0.103,0.684,0.214,0.6705,0.8996545,0.091663904,0.008681564
45,"Most Beautiful, Fast and Stylish iPhone, I've ever Had..","Most Beautiful, Fast and Stylish iPhone, I've ever Had..",5.0,0.0,0.656,0.344,0.6361,0.0020598152,0.028262582,0.96967757
46,The Best Choice !,"Like every time, Apple has again mesmerised me with it’s great creation iPhone XR. The best part in this is when you unbox your brand new iPhone. It comes with an earpod, and a Fast charger. I understand that the price might be a bit high but trust me, it’s worth it. The camera has the best feature within it. Everyone says that it’s an LCD screen but you’ll nit be able to differentiate just by looking at the screen. The phone performance  is more faster now. And last but not the least, I am really impressed with the battery back up time. It really lasts. Full charge at 10 am and then the whole day on Cellular Data, I have played PES2019, played some songs from YouTube Music, hovering on Whatsapp, Instagram, Facebook and clicked some good photos. When i came back home at 11 o’clock, i still had 66% charge. That’s what we needed in an iPhone.",5.0,0.0,0.798,0.202,0.9879,0.0032233482,0.020990446,0.97578627
47,Problem with Dual SIM,iPhone XR is excellent there is no doubt about this. This first time my iPhone experience. Its great experience. But I am very unhappy about the dual sim performance (May be solved the problem).,3.0,0.178,0.642,0.18,0.0156,0.0703774,0.14303865,0.78658396
48,Best iPhone till date,Been a iPhone user always. Upgraded to iPhone XR from iPhone 6 and I have no regrets. Just love the ease that face recognition brings in... freedom that 128GB memory brings in... and of course peace of mind that Apple brand name brings in.,5.0,0.087,0.647,0.266,0.8934,0.0015189425,0.013761655,0.9847194
49,faulty product sent,the phone wont turn on,1.0,0.0,1.0,0.0,0.0,0.8147525,0.16995539,0.015292155
50,Go for iPhone XR 256GB!,"A lot of criticism of iPhone XR has been about its inability to take portrait pics of “only human faces!” Though true, it can be very easily overcome by downloading a software app - “Halide!” That and the near negligible difference in viewing experience, puts it on par with iPhone XS and even XS Max! Just go for it— the 256 GB storage version!",5.0,0.098,0.823,0.079,-0.3127,0.058944076,0.24348906,0.6975668
51,Prices have fallen by rs 10000 in 3 days after I bought my phone. I feel terrible.,Prices have fallen by rs 10000 in 3 days after I bought my phone. I feel terrible.,1.0,0.318,0.682,0.0,-0.6808,0.91063625,0.08019423,0.009169555
52,Pathetic service from Amazon,Faulty product delivered and Amazon not giving replacement. Cheating with customer and just making money by scam and defective product delivery. Phone is not usable as display stop working randomly and screen freeze suddenly. I have provide problem video also to Amazon within 10 days of replacement but Amazon just making money and cheating with customer.,1.0,0.237,0.645,0.117,-0.8404,0.9509195,0.04406477,0.0050156456
53,Just don’t buy it from amazon totally waste of money., Iphone is good but probably I have received a defective piece from amazon as I am facing issues with software. Further never heard a iphone to be hanging issue but I am facing the same and attached a video regarding it. Within a month I have to visit customer care and still facing issues. Very worst experience don’t buy it from amazon.,1.0,0.146,0.703,0.152,-0.3797,0.8895073,0.09751443,0.012978276
54,"Fast, long battery hours","Super fast performance, long battery hours, little heavier than iphone 7 plus. Overall good phone.",5.0,0.0,0.638,0.362,0.7783,0.0018088386,0.02140104,0.97679013
55,Disappointing in many ways,Has many drawbacks. Apps developed for iPhone by Indian Companies aren’t good at all. You can’t even do a normal Tatkal booking as irctc app unavailable. No dual Whatsapp so one number is wasted. No dual Facebook as well. Maximum 5gb cloud backup storage limit. Apps get refreshed more frequently and better enhancements on android. No features to search apps easily. Wifi once disconnected loses auto join features. Maximum 100 call records that’s very very annoying. Difficult to set primary and secondary sims in sms. Some Whatsapp features missing.,2.0,0.189,0.679,0.132,-0.7408,0.8594165,0.12390416,0.01667939
56,It is heavy weight phone,It is heavy weight if u use more ull feel it hard to hold on regular note!,3.0,0.101,0.899,0.0,-0.1759,0.53109074,0.41549557,0.053413752
57,Bad quality/performance,"There have been multiple issues faced since started installing and restoring from icloud. Gets hanged/stuck, suddenly WiFi gets disconnected and doesn't get connected till restart, deteriorated network speed on usage of the data.....",1.0,0.0,0.936,0.064,0.296,0.8917216,0.10048098,0.0077973893
58,Superb price thanx to amazon,"First off, the battery life is INCREDIBLE! This is the first phone I have used where I can get two days of use on one charge! I would regularly charge the phone overnight one night, then go to bed at midnight with 55-60% left the next night, leave it unplugged, and finish the next day at midnight with around 2-5%. The size of the phone was just just about perfect for holding/scrolling with one hand, and I usually wear men’s size medium gloves for reference.",5.0,0.014,0.9,0.086,0.8065,0.0027978604,0.02522785,0.9719743
59,Worth Every Penny,"When compared with XS only visible difference would be screen, that too when kept side by side.",5.0,0.0,1.0,0.0,0.0,0.058809876,0.82741237,0.11377769
60,I love it..!,"Awesome IPhone.. I have upgraded from iPhone 6 and I can notice the significant different in display, touch and XR is certainly faster. It’s worth the upgrade..! Thank you Amazon for delivering it securely.",5.0,0.0,0.584,0.416,0.9336,0.0014178012,0.008919518,0.98966277
61,Xcellent phone,"Got this phone for offer price. Everything is great from packing to delivery. Display quality is very good. Dual sim option is very good, got esim from airtel",5.0,0.0,0.705,0.295,0.8882,0.0017756383,0.009186041,0.98903835
62,Best iPhone to buy at this price.,Bought this phone for my wife. She's absolutely happy with the phone.,5.0,0.0,0.734,0.266,0.6115,0.001616177,0.014356164,0.98402774
63,Swap my iphone xr,I want to replace this iphone because since i got this it worked well for w week then later on its speed is slowed down and even it hangs sometimes. Its been 3 months since i got this n i m already irritated with this device. My lighting usb has already stopped working .,1.0,0.099,0.832,0.069,-0.3612,0.9046593,0.08271029,0.012630434
64,Thanks apple India. Very very thanks amazon for faster delivery and original product,Great phone for better photos and low light battery usage is much better than X,5.0,0.095,0.455,0.45,0.8316,0.0031021186,0.024549317,0.97234863
65,Good phone but horribly heavy,"So overall it’s a pretty nice phone, I honestly don’t find much difference in features from my old iPhone 6. Apart from face recognition.",4.0,0.0,0.672,0.328,0.8505,0.014216764,0.08517387,0.9006094
66,Very good phone very fast,Good phone,5.0,0.0,0.256,0.744,0.4404,0.00504115,0.06110307,0.9338558
67,My First Apple iPhone,"I’ve been using Android for close to a decade and now decided to check out iOS. Thanks to Amazon Prime Sale, got iPhone XR for a discounted price(Still expensive), Coming to the iPhone itself, after using phone for 3 days, below are the points I came across.",4.0,0.0,0.873,0.127,0.5859,0.0060492554,0.12106836,0.87288237
68,Nice Phone,Using this phone since 2 months. Here is my review. Hope you will find it useful.,5.0,0.0,0.691,0.309,0.7003,0.0069090137,0.14168265,0.85140836
69,XR Deals seem very good,"I was skeptical looking at some XR reviews and also purchasing an iPhone off Amazon (previously always bought through Apple Stores). However, so far happy with what I have. The delivery was fast (on Prime, next day); all original packing (phone box) and phone is working fine. Touchwood - no issues. The Deal was good with the 10% additional HDFC discount. Go for 128 GB (or even higher) - the few extra thousand are worth it when you run out of space.",5.0,0.051,0.786,0.164,0.8434,0.004221605,0.039564975,0.9562134
70,Got a defective screen product delivered.,I got a defective iPhone XR. The screen is defective. There’s a blue shade on all the four sides of the screen. The phone’s working completely fine though.  So whoever purchased the phone while unboxing please check your device thoroughly. It was my mistake that i thought that maybe it’s something related to software which will be fixed after software update but it didn’t. And in that belief i skipped my 10 days return policy as well. I still don’t blaim amazon because i have purchased my Airpods from them as well. But still appario should not sell defective products to customers. Now i have to go through a hassle of getting the screen replaced from service centre and for that service centre will keep my phone for at least 7-10 days. It’s disappointing that i have to go through all this for a brand new phone. The reason why i didn’t upload a pic is bcuz it will not be visible in a pic taken from another phone.,2.0,0.081,0.856,0.062,-0.6374,0.7773726,0.19102623,0.03160125
71,Loved it,ALL good,5.0,0.0,0.256,0.744,0.4404,0.010263955,0.12358953,0.8661465
72,Blindly go for it.," I chose iPhone XR over x. The reasons are, it is 6.1-inch display and supports dual sim. the Battery Durability longs last. I got the Brand New peace (made in 2019, September) without any defect.",5.0,0.0,0.789,0.211,0.7927,0.0054023624,0.15225635,0.84234124
73,Apple's most selling model,"During the great India sale, I saw this model on offer and my sister was dying to get a new phone since her old phone was barely keeping up. I finally made up my mind,, arranged the funds and got it for my sister.",5.0,0.0,0.907,0.093,0.6249,0.027651442,0.22487901,0.74746954
74,iPhone beautiful but not functional,"Phone looks beautiful. I bought it just one month before thru Amazon, when I put my sim it's speaker has not been working , it is difficult to listen voice sometimes it becomes disconnected. Although my android phone is working good at the same place. I don't know whom should I contact about my complaint.",1.0,0.081,0.773,0.146,0.5859,0.36888388,0.3650433,0.26607284
75,Felt Android is better compared to ios,"After transition from Android to iOS, I felt Android is more user friendly compared to iOS.",5.0,0.0,0.801,0.199,0.539,0.0058866343,0.11965992,0.8744534
76,Not getting activated,I am not able to activate iphone after several attempts. Today only i purchased.,1.0,0.0,1.0,0.0,0.0,0.8980258,0.09482388,0.00715033
77,"PHONE IS GOOD, but THE OPERATING SYSTEM (ios) IS NOT!!",Hello friends!! This is my honest review after using it for almost 2 months. I was using android since last seven years but then I decided to go for iPhone. Here are the pros and cons according to me which I have felt after using it for almost 2 months,4.0,0.0,0.9,0.1,0.5837,0.0680347,0.48737326,0.44459197
78,"Good phone, good deal",So upgrading from 6S+ to XR. First reactions:,4.0,0.0,1.0,0.0,0.0,0.006771644,0.8651332,0.1280951
79,🙏🏽,Everything look good but I never expect.,1.0,0.0,0.719,0.281,0.2382,0.13803881,0.3880031,0.47395805
80,Apple's Perfection at a premium but ....,"Upgraded from 5s to xr after 3 years of 5s use. Purchased it at ₹37999 after low battery issues with 5s. Why I choose xr rather than iPhone 8 ,7 or even 6s even when I bought 5s after 3 years of its initial launch is",5.0,0.05,0.95,0.0,-0.2732,0.17295246,0.59219295,0.23485464
81,Great hardware + Stunning software = 1 magical experience,"Before I start this review I’ll let you know, I love the Apple brand and I’ve never used a 1080p OLED phone in my life (This screen seems perfectly normal to me). That being said I’ll dive into the review. I got this phone on the Prime day sale and I’ve been using it for almost a month now and here are my thoughts about this phone.",5.0,0.0,0.877,0.123,0.8555,0.011609354,0.08319467,0.905196
82,iPhone with the Best Battery Life,Got this product in the amazon flash sale and got a decent discount. Have been using the device for a few days and can certainly say that this iPhone has the best battery life till date. Phone lasted for almost 30 hours with heavy usage. The face recognition has certainly been improved from iPhone X. The only thing I dislike about the phone is the Screen Quality. You won’t find any major difference in the screen quality unless and until you stream Netflix or watch YouTube. Overall I feel this is one of the best iPhones apple has launched.,4.0,0.024,0.797,0.179,0.9423,0.037514884,0.10863161,0.8538535
83,ok,You will always feel cheated after buying an iPhone. It will get cheaper by every next 2-3 months.,4.0,0.163,0.837,0.0,-0.5106,0.2707216,0.4161869,0.31309152
84,Never mind the negative reviews- used review- Excellent phone.,"I have been using this phone for a while now. When I decided to buy this phone I checked on negative reviews first and after buying thought of using it first and then give a feedback. This is the perfect Phone with all advanced features for a normal user, which is worth for the price. Moving unto the flaws seen on the feedbacks, most of them complaining about the display being low resolution and LCD. In my opinion you won’t spot any difference with other iPhone displays. Another thing I’ve seen than lot of people complaining about the single camera, however, the picture quality you get will amuse you.",5.0,0.086,0.824,0.089,0.0958,0.101240076,0.311539,0.5872209
85,Amazing iPhone with great offer from Amazon,"Bought this during Prime sale. I love to use Apple products because of its simplicity. I was using iPhone 6 and thought of updating. While the XS and XS Max are more than a Lakh in India, iPhone XR is bang for the buck. The prime day deal was more sweet and surprise to me. The operation and touch responses are silky smooth. Dual Sim with the eSIM works like a charm. Rear camera is awesome with face detection AI Bookeh in Portrait mode. Screen resolution is very good and crisp without any pixel issues. It lacks 3D Touch but Apple incorporated Taptic Engine which will be updated to replace 3D Touch functionality eventually (though some are present now, it is limited). Some APPs are not good in the notch area though but it is ok to manage. Overall a nice update.",5.0,0.0,0.832,0.168,0.97,0.0033541375,0.027790459,0.96885544
86,iPhone XR,Received the product next day only but packaging was not good as it is a cellphone box they should cover it with some thing  Phone is working fine but some times apps automatically closes I am a bit confused if it is a genuine product or not  I would suggest people not to buy from amazon you should go to your nearest store and buy it,1.0,0.09,0.847,0.063,-0.4232,0.6444245,0.3018104,0.053765047
87,Review from an Android user,I am a recent convert from Android. I have used Samsung and Xiaomi phones earlier. Here is my initial impression:,3.0,0.0,0.894,0.106,0.2263,0.0067632357,0.5120872,0.48114958
88,The iPhone for the masses..,"Don’t get swayed by some lame reviewers on YouTube. If u r holding out for an iPhone purchase then this is the real deal. The Xr is a jack of all trades although not excelling in any. The A12 Bionic is a beast,n’uff said already, the stereo speakers sound sweet and battery life is great. I found the most bashed about lcd display very pragmatic for everyday use.The portrait shots taken with the camera look a stunner.With the reason price cut , this has turned out to be the VFM iPhone ever made",5.0,0.081,0.845,0.074,0.09,0.024060369,0.12727758,0.8486621
89,Ignore the negative reviews and just go for this awesome phone,Received product yesterday and product looks perfectly awesome.,5.0,0.0,0.42,0.58,0.8519,0.0013487343,0.010977641,0.9876736
90,Class and simply class,Excellent phone. I am using it since 3 months. No problem. Classy product. Bought during Diwali sale @39k. Excellent battery backup lasting more than a day. Mind that I am a heavy user. Excellent photos. SIRI works well. No issues faced. Must go for it over other Chinese product in this price segment.,5.0,0.112,0.633,0.255,0.875,0.002707596,0.02157274,0.97571963
91,iPhone Dead when you open the box,Iphone not working since I opened the box. Apple support of little help. Amazon not taking the return. Asking for a report from Apple. Now I have to chase Apple to get a report. Nightmare starts when you buy from Amazon.,1.0,0.0,0.806,0.194,0.7141,0.80670303,0.16588587,0.027411127
92,Good phone with lot of cons but still flagship,There are many pros about this phone which you must be already aware of . I would like to point out at cons,4.0,0.0,0.889,0.111,0.3612,0.08926981,0.52215743,0.38857278
93,Face ID and front camera portrait mode isn't working just after 3 months of purchase.,Face ID and front camera portrait mode isn't working just after 3 months of purchase. It must be a problem of true depth sensor. My city (Imphal) apple servicing centre doesn't allow me to take for servicing and tells me to go to Guwahati (Assam) for this problem. May be a coincidence because this problem happened when I used amazon basics 10w fast wireless charger which I combine with xiaomi quick charge 3,1.0,0.13,0.81,0.06,-0.6447,0.66755426,0.29945177,0.032993987
94,"Best Iphone, Sweet deal",I was using iphone 6 since last three years before switching to Iphone XR. The following are the things that impressed me the most.,5.0,0.0,0.871,0.129,0.4767,0.0010375585,0.036644366,0.9623181
95,"In this price of 45000, its the best choice for long term",Camera superb,5.0,0.0,0.196,0.804,0.6249,0.0152226,0.25060675,0.7341706
96,Awesome iPhone,I bought this iPhone XR from October Amazon Great Indian Festival at deep discount. At Rs 38000 after all discounts were applied was a WOW deal. THANK YOU Amazon.,5.0,0.0,0.532,0.468,0.955,0.0013672156,0.015627606,0.9830051
97,Excellent Phone,"Nothing can beat iPhone. This is my fourth phone (iPhone SE, iPhone 6, iPhone 8 and now this) purchased from Amazon. All are excellent phones. Except for screen resolution, iPhone XR is nothing less than XS or XS Max. In fact, the battery life is twice as that of iPhone 8. Face recognition is excellent even in dark while android phones lack this technology. White is a beautiful color. Delivery was before scheduled deadline and in good external packing.",5.0,0.026,0.796,0.178,0.9274,0.0062373374,0.030190118,0.9635725
